project_id,project_name,project_objective
160688,"Emergency response to acute and chronic health emergencies and improved access to primary health care for vulnerable populations in Renk, Leer, Aweil, and any other location across South Sudan.","To reduce morbidity and mortality among vulnerable girls, boys, men and women in emergency situations by providing access to quality essential primary healthcare, including reproductive health. To support communities and the MoH to prevent, detect and respond to disease outbreaks."
160930,Improving the mental health and psychosocial well-being of the population in Leer,This project seeks to improve the psychosocial well-being of women in Leer County. A network of mother-to-mother ‘Cascade Groups’ is supported by staff trained in appropriate modalities of mental health and psychosocial support. Child-friendly spaces complement Medair’s integrated programming in Leer
160482,"Improved access to safe water, and improved sanitation and hygiene practices for vulnerable populations in Renk, Leer, Aweil and any other location across South Sudan","The main objective of this project is to contribute to the reduction in morbidity and mortality resulting from waterborne diseases, by increasing access to safe water, sanitation and better hygiene practices among displaced populations, vulnerable communities, and host communities in South Sudan.  Rates of SAM and MAM still remains high in various counties in South Sudan,  particularly Renk and Aweil. Additionally, aaccording to RSS EVD contingency plan, the general health situation across South Sudan remains fragile and the ongoing crisis has seriously affected health service delivery. The risk of EVD importation to South Sudan has been assessed to be very high. South Sudan is one of the countries prioritised to enhance operational readiness and preparedness based on the WHO EVD Preparedness Checklist. Water, sanitation and hygiene needs still remain critical for many counties in South Sudan,  with almost all assessed counties registering critical need for latrines and safe drinking water, and reports of mortality due to lack of proper WASH.  Medair will continue to work in Renk, Leer, Aweil and any other Emergency Response sites, to support interventions aimed at combating malnutrition providing integrated WASH in health response to control outbreaks at wider community level through multiple integrated approaches and activities. Medair will assess existing water points and repair water supply infrastructure as necessary, carry out hygiene and sanitation activities through care group model, and support latrine constructions in emergency and disease outbreak contexts. These activities will contribute to the following WASH cluster strategic objectives. CO1: Integrate WASH in nutrition response through famine prevention minimum package. CO2: Integrate WASH in health response to control outbreaks at wider community level. CO3: Provide timely/sustainable, equitable access to safe water, sanitation and hygiene for IDPs, host communities and returnees."
168262,"Ensure life-saving GBV prevention and response services are available and accessible to all, including women and girls in greater situations of vulnerability due to violence and displacement in the Provinces of Cabo Delgado and Nampula","1.  1.  Conduct rapid assessments of GBV trends and risks, safety audits and impact assessment of GBV interventions in targeted districts of Cabo Delgado and Nampula;
2.  Establishment of 10 new women and girl-friendly spaces in districts hosting internally displaced women and girls and roll out of life-skills and economic empowerment activities;
3.  Ensure communication with communities through distribution of mobile phones/credit to community volunteers and frontline workers in hard-to-reach areas;
4.  Increase access to life-saving GBV services, including clinical management of rape, PEP Kits, case management, medical and psychological first aid, to respond to the needs of women and adolescent girls survivors of GBV and other types of violence in hard to reach areas through support to functioning of a boat ambulance in coastal areas, mobile services and deployment of social workers to targeted districts;
5.  Promote dissemination of messages and information related to GBV services and conduct awareness sessions to prevent GBV, SRH and PSEA and available services, in host communities and resettlement sites;
6.  Provide training on GBV prevention and risk mitigation and advocate for improved prioritization of GBV multisectoral mechanism and strategies to reduce the risks of GBV in the humanitarian response, targeting frontline responders for other clusters (e.g. Health, WASH, FSL and Shelter etc), activists and members of the multisectoral mechanism;
7.  Procurement of Dignity Kits to be distributed to women and girls in targeted districts of Cabo Delgado and Nampula Provinces."
168265,Support to internally displaced childre due to armed conflict,"""""1. Dissemination of child safe keeping messages
2. Psychosocial support
3. Case management (including reitegration of separated IDP children)"""""
168233,Provision of Primary Health Cares Services to IDPs in Cabo Delgado Province,"• Support implementation of Integrated mobile health brigades with focus to routine immunization, MCH and newborn services, PMTC of HIV, and sick child consultation 
 • Support malaria prevention through distribution of 6000 mosquito nets to IDPs and host communities
 • Provide integrated community case management of malaria diharrea and pneumonia through refresher training and deployment of APEs and procurement and supply of essential medicines 
 • Support social mobilization and promotion of hygiene and best health practices for reproductive, maternal, newborn, child health, and nutrition through community radios and APEs"
166870,"Provision of lifesaving emergency reproductive, maternal, new born and child health services including disease prevention and strengthening national and regional emergency preparedness and response capacities","Enlargement of Project # 159644: Traige, Isolation, emergency referral for severe cases, dissemination of RCCE messages, training of health professionals and frontline health workers, distribution of PPE to health professionals based in the static health faciliites, conttinuation of essential health services and distribution of IPC materials, Total estimated beneficiaries = 2500000"
168479,"Provision of Basic health intervention with focus on mothers, newborns and children in the Northwest and South West","Provision of Basic health intervention with focus on mothers, newborns and children in the Northwest and South West"
164572,"WASH Assistance in Quneitra, Rural Damascus, Rural Hama and Rural Aleppo","After nine years of conflict, WASH systems have suffered from damages owing to years of functioning at high capacity where large numbers of IDPs overburdened the system, limited or no maintenance, destructions, displacement of technical staff and effects of climate change and poor water resources management. WASH infrastructures and service provision thus require significant investments, repairs and operational support. Though affecting the overall population, individuals with little immunity such as children, pregnant women and elderly are particularly at risk as dysfunctional or lack of WASH facilities increase the risk of widespread waterborne diseases and directly threaten their health.

Through the proposed intervention, SIF will directly contribute to SO1 through improving access to safe water for drinking and domestic purposes through the rehabilitation of sewage networks in some of the highest severity ranking sub-districts of Duma (Rural Damascus), As-Saan and Muhardeh (Rural Hama) and Eastern Kweires and Jebel Saman (Rural Aleppo). The intervention will mainly consist in replacing sewage pipes, excavating manholes and connecting sub-sewage lines to the general sewage network. Moreover, SIF will contribute to SO4 through rehabilitating WASH facilities in 8 public schools in Shafuniyeh (1), Qahtanieh (1), Karnaz (1), Mourek (1), Eastern Kwaires (2) and Jabel Saman (2) sub-districts. The intervention will consist in rehabilitating existing WASH facilities, supplying new toilet blocks and fountains and providing toilet blocks for students with disabilities including ramps and steel handrails. These localities were selected based on their level of accessibility and the severity of needs as per 2020 Humanitarian Needs Overview (HNO), SIF field assessments and consultations with local authorities and municipalities of each targeted sub-district.
This intervention is based on SIF’s experience over the past 8 years implementing WASH projects in Syria. In 2019, SIF reached a total number of 56,401 beneficiaries through various WASH interventions such as rehabilitation of water and sewage networks, distribution of water tanks and rehabilitation of boreholes across Rural Damascus, Hama, Dar’a and Aleppo governorates.
Regarding sewage network rehabilitation, the intervention will directly benefit: 
-	1,500 individuals in Rural Damascus (50% men, 50% women), including 550 children, 600 adults and 350 elderlies;
-	12,750 in Rural Hama (50% men, 50% women), including 3,825 children, 5,100 adults and 3,825 elderlies;
-	8,500 in Rural Aleppo (50% men, 50% women), including 2,550 children, 3,400 adults and 2,550 elderlies.
The above-mentioned figures are based on preliminary estimations and could change during the implementation.  Besides, upgraded WASH facilities in public schools, including improved access to water supply and sanitation facilities, will benefit to an estimated number of 3,200 children (50% men, 50% women), with approximatively 400 children per public school. Regarding GBV/PSEA, SIF will pay specific attention to children by providing them with quality gender and disabled friendly WASH facilities taking into account menstrual needs and including locking doors and lighting in public schools. SIF will also ensure to provide WASH facilities accessible for children with disabilities. This integrated project will be implemented in close collaboration with Education, Shelter and Protection sectors, and will aim at rehabilitating private houses and public schools, and providing non-formal education, psychosocial support (PSS) and child protection awareness sessions to children and adolescents inside public schools. This WASH project will thus participate in fostering returnees’ movements towards their home town through providing quality sewage services and improving children access to education through providing quality WASH facilities inside public schools."
162120,Logistics Coordination Efforts Through Sector,"WFP intends to develop the following activities:
•	 Lead the dedicated coordination cell to strengthen horizontal cooperation among organisations and to enable synchronization of logistics efforts.
•	 Co-lead sector-specific logistics operations and facilitate access to technical expertise in order to improve existing processes.
•	 Maintain a preparedness and support cell to strengthen their operational capacity through capacity building such as training and simulations or direct advisory.
• Strengthen the support to ISCG and the Government of Bangladesh with advisory on logistics-related implications of cross-cutting issues and advocate for streamlined policies and processes that improve logistics performance.
• Establish a Information Management Cell (IM) and design tools to collect, consolidate and make available timely information on logistics intelligence such as market capacity, assets capacity and access constraints. 
• Manage common service provision whenever resulting from a systemic constraint;
•	 Augment organization support by reinforcing operational resilience and prepositioning standby operational capacity."
161037,Provision of Emergency WASH Assistance for Affected Populations in South Sudan,"This project intends to provide integrated and equitable access to safe water, sanitation and hygiene (WASH) services to IDPs, host communities and returnees in the affected areas. The project will build on existing WASH services and emergency response mechanisms that will be coupled with GBV risk mitigation and accessibility inclusion components. IOM will ensure WASH services benefit conflict-affected populations in hard-to-reach areas in Protection of Civilians (PoCs) sites located in Bentiu, Malakal and Wau, including the collective centres in Wau. IOM WASH services will target 149,608 beneficiaries (40,394 women, 34,410 men, 39,347 girls and 35,457 boys). IOM will continue providing and maintaining WASH services through operation and maintenance of safe and accessible water supply systems; care and maintenance of accessible and secure sanitation and handwashing facilities; and solid and liquid waste management. IOM will sustain and improve the promotion of hygiene and public health, focusing on community ownership methods. Emergency Preparedness and Response (EPnR) teams will expand access to WASH services to underserved and vulnerable populations in remote and hard-to-reach locations lacking access to basic services, as identified by the Needs Analysis Working Group (NAWG), Inter-Cluster Working Group (ICWG) and in coordination with WASH Cluster coordination mechanisms. The intervention aims to target 214,628 beneficiaries (57,950 women, 49,364 men, 56,447 girls and 50,867 boys). IOM will ensure provision of safe water through borehole rehabilitation, manual drilling of boreholes, rehabilitation of surface water treatment systems, distribution of water treatment supplies and water trucking. IOM will ensure the sustainability of water supply through the formation and training of water management committees, pump mechanics and the provision of spare parts for ongoing care and maintenance of boreholes. For manual drilling, IOM will ensure the community members are engaged throughout the process, through site selection, accessibility and safety, selection and training of drilling crew members from the community, and through contributions such as food for drilling team. IOM will additionally promote good hygiene and sanitation practices through hygiene promotion activities and distribution of basic household hygiene items, including training and distribution of menstrual hygiene management (MHM) kits to women and girls of menstrual age. IOM will ensure that prevention and mitigation of Gender-Based Violence (GBV), Prevention of Sexual Exploitation and Abuse (PSEA) and AAP activities are mainstreamed throughout activities. As mitigation plan, IOM will continue with the EVD surveillance and preparedness activities along South Sudan, Democratic Republic of Congo and Uganda through community hygiene and health promotion, and installation of handwashing and sanitation facilities in the point of entries (PoE) and health facilities. This intervention will target 57,470 individuals (15,517 women, 13,218 men, 15,115 girls and 13,620 men). IOM also plans to expand WASH and mitigation and prevention GBV services to assist IDPs outside PoCs and collective centers, and returnees and host communities through community participation and engagement. IOM will facilitate the reintegration at community level by improving access to WASH services as most infrastructure was destroyed during the conflict, including GBV risk mitigation activities. Through capacity building, IOM will ensure that communities are trained and able to respond during diseases outbreaks or conflict-affected displacement before humanitarian organizations are able to access and provide additional support. "
160979,Management of WASH Core Pipeline supplies to strengthen WASH sector’s preparedness and integrated response in South Sudan,"This project aims to bolster the WASH cluster’s capacity to respond to emerging humanitarian response in locations with greatest needs through the management of the portion of the WASH core pipeline. In 2020, IOM will continue its commitment to support the WASH Cluster by aiming to procure and manage core pipeline supplies to benefit 722,844 people targeted to be assisted with lifesaving WASH emergency assistance. The project activities are in line with Strategic Objective (SO) 1, 2 and 3 of HRP 2020, as well as the WASH Cluster Objectives 1, 2, and 3. IOM Pipeline will procure, transport and manage the supplies needed for the WASH Cluster minimum packages for quality interventions integrated across sectors, targeting the acute vulnerabilities in South Sudan. Supplies procured will include items indicated by WASH Cluster as key basic supplies needed in WASH frontline response, such as household water treatment and storage, water quality testing supplies, bulk water treatment and storage, hand pump spare parts and tool kits, latrine materials, basic hygiene supplies Type of responses to be supported will include both static and mobile responses, covering response locations within and outside PoCs in South Sudan. 
IOM Pipeline will work closely with the WASH Cluster and State Focal Points to ensure prioritized and coordinated coverage across the country, minimizing gaps and overlap of services. IOM will also maintain strong coordination with other Clusters such as the Shelter/NFI, Health and the Logistics to ensure more vulnerable and underserved populations have access to WASH core pipeline supplies to maintain their basic WASH standard. The common pipeline system implementation in South Sudan has been effective as it optimizes economies of scale, reduction of cost, harmonized quality of items, non-duplication and supply chain efficiencies. Through the management and provision of core pipeline supplies, IOM supports the inter-sectoral collaboration which mainstreams the key-cross cutting issues such as gender equality, AAP, protection, disability inclusion and GBV prevention and mitigation, including SEA prevention effectively in every response. IOM common pipeline ensures the provision of reliable and quality gender-sensitive items such as menstrual hygiene management (MHM) kit and hygiene kits
"
160866,Support Shelter-NFI Cluster’s capacity to improve access of targeted beneficiaries to safe and appropriate life- saving Shelter and NFI supplies in South Sudan.,"IOM, as Cluster Lead Agency, has been successfully managing the Shelter and NFI (S-NFI) Core Pipeline since 2011 and has the capacity to continue providing critical services to Cluster Humanitarian Response Plan (HRP)partners. Based on its experience and on-the-ground presence, IOM will ensure swift delivery of life saving assistance to partners and beneficiaries through effective supply chain management. Under the HRP 2020, S-NFI Cluster Pipeline plans to reach 823,251 (80% of total target) beneficiaries across South Sudan. SNFI Pipeline is responsible for procuring, transporting and storing S-NFI materials. Upon S/NFI Cluster endorsement, the Pipeline will receive and process partners’ requests for distribution and prepositioning. The Pipeline team will coordinate with the Logistics Cluster, to ensure cargo movement for planned responses and for stock prepositioning. Further, the Pipeline team will ensure transport and storage from Juba to the main logistics hubs; ensure support to distributing partners on cargo movement by road; and coordinate with the Logistics Cluster for cargo shipment by air. The Shelter-NFI Pipeline provides partners with rapid access to critical materials to meet the emergency needs of most vulnerable populations. In order to allow partners timely access to S-NFI supplies, items are procured centrally by one organization and prepositioned in strategic locations, mainly Bentiu, Bor, Wau, Malakal and Rumbek, but also Torit, Mundri, Yambio, in order to expedite the process by which items are moved to the final distribution sites in field location. The Pipeline system optimizes economies of scale, reduction of cost, harmonized quality of items, non-duplication and supply chain efficiencies. The Pipeline will conduct a survey with partners to gather feedback on efficiency, appropriateness and coverage of the pipeline, the findings of which will be utilized to adjust programming as appropriate. It will also collect beneficiary’s feedback through Post Distribution Monitoring and Rapid Monitoring conducted by its partners on quality, appropriateness and usage of supplies.

"
161035,Supporting Survivors and Addressing Risks and Root Causes of GBV in Conflict-Affected Areas of South Sudan,"Recent studies indicate a high prevalence of GBV in South Sudan (IRC, 2017; IOM, 2017). The needs for GBV services are high, yet availability of multi-sectoral GBV services across the country is low, and access remains a challenge for women, especially in rural communities. In the context of protracted conflict, displacement, and the dire economic and food security situation, individuals and families have resorted to risky coping mechanisms, such as increased forced and early marriages and survival sex.  Areas of return and locations of displacement outside camps are often underserved by services, which heighten risks for women and girls. 

The prevalence of GBV is underpinned by a patriarchal social system reinforced by other harmful gender norms. The conflict and economic collapse have affect men’s ability to provide for and protect their families. For those unable to live up to idealized norms of masculinity, acts of violence and crime are used to express their authority and control. Youth gangs, blamed for increase in crime including GBV, have increase in urban centres of Wau and Juba, as traditional leadership has been eroded. There is a need to engage men and boys, particularly disenfranchised youth in being part of the solution to prevent GBV, particularly in transitional and recovery locations. 

IOM works to ensure a consistent and robust approach to addressing gender-based violence in crises, utilizing IOM’s institutional framework (2018). This project will contribute significantly to protection and gender equality and includes conscious strategies for inclusion of marginalised groups. IOM will contribute to Protection Cluster Objectives PO1 and PO2 through the following activities in Juba, Wau, Twic (Warrap) and Magwi:
•	GBV response: Providing psychosocial support and case management, Establish and operate women and girls friendly spaces (WGFSs), awareness raising on available GBV services, build capacity of multi-sectoral service providers, provide dignity kits to strengthen protection outcomes. 
•	GBV prevention: Conduct GBV behaviour change and harmful social norms programming utilizing EMAP, empower women and girls through targeted livelihoods, leadership and life-skills activities.
•	GBV risk mitigation: Build skills and attitudes among WASH, livelihoods and peacebuilding actors on risk mitigation, women’s participation and to address the gender gap in humanitarian employment opportunities.
"
161590,Provision of vital common communications services in North-East Nigeria,"The ETS will provide humanitarians across Borno, Yobe and Adamawa states with reliable communications services to enable an eﬃcient and safer response, ultimately saving more lives. ETS services allow humanitarians to implement eﬃciently their activities and carry out their jobs safely in areas where services from local services providers are unstable or non-operational. In addition, the ETS will continue to build the capacity of local partners, will map the communication needs of the affected population in North-East Nigeria and evaluate the possibility of implementing a pilot project to address identified needs for communities."
162362,"Projet intégré d'appui à la résilience des populations vulnérables réfugiées, déplacées, retournées et hôtes de la région de Diffa, Niger","Ce projet de 36 mois (02/01/2019 au 01/01/2021) mené en consortium avec IMPACT, Welthungerhilfe, Concern Worldwide sous le lead d’ACTED vise à appuyer la stratégie d’urbanisation mise en œuvre par l’UNHCR et du CISP dans 6 communes de la région de Diffa au Niger. L’objectif général du projet est d’améliorer les conditions de vie, la résilience des populations vulnérables et la cohésion sociale à travers le relèvement économique, social et gouvernemental des 6 communes. 
Pour l'année 2020 (année 2 du projet), 15 750 personnes soit 2 250 ménages (au total pour les 3 années du projet ce sont 42 000 personnes soit 6 000 ménages) déplacés, retournés, réfugiés et hôtes (8% réfugiés et 92% de déplacés/hôtes/retournés) dans 6 communes de la région de Diffa recevront un appui à travers une assistance multisectorielle : infrastructures communautaires, sécurité alimentaire, renforcement des moyens d’existence, appui à la coexistence pacifique, pour renforcer leur résilience et accompagner leur installation durable sur les nouveaux sites urbanisés. Un volet AGORA cherchera en parallèle à renforcer les capacités des acteurs locaux et appuyer les cadres de concertation entre les parties prenantes du projet. 

Les objectifs spécifiques du projet sont :
- Objectif spécifique 1 : Améliorer l’accès des ménages et groupes vulnérables aux infrastructures et services sociaux de base (eau/assainissement, santé/nutrition et éducation) 
- Objectif spécifique 2 : Améliorer durablement les capacités des communautés, des ménages et des personnes les plus vulnérables à anticiper, absorber et se relever des chocs affectant leur sécurité alimentaire et nutritionnelle 
- Objectif spécifique 3 : Assurer une gouvernance décentralisée forte en renforçant les capacités des autorités et services techniques 
- Objectif spécifique 4 : Renforcer le développement local à travers la création d’opportunités économiques et le développement des capacités économiques locales.
- Objectif transversal : Promouvoir la coexistence pacifique et faciliter la communication entre les différentes couches de la population"
168269,"Emergency shelter/ NFI response for IDPs in Cabo Delgado, Nampula and Niassa provinces","1. Research value chain for local materials within Northern provinces of Mozambique. 
 2. Procure bamboo (x 100 pieces) and construction poles (x 16 pieces) and other supplies for 15,000 families. 
 3. Procure 15,000 locally produced sleeping mats 
 4. Provide to most vulnerable IDP families, based on shelter cluster prioritisation."
168223,Strengthening and Expansion of the Displacement Tracking Matrix (DTM) in Cabo Delgado and the Other Affected Neighboring Provinces,"• Extend the coverage of the Displacement Tracking Matrix (DTM) in the 17 districts of Cabo Delgado and in the other affected districts in Neighboring provinces (Nampula and Niassa), utilising permanent teams on the ground and utilising and strengthening key informant networks to provide monthly baseline assessments in all locations and multi-sectoral location assessments (MSLA), paired with household assessments, to support the response, in close coordination with all clusters. 
 • Provide reporting and analysis on a monthly basis, including dashboard, maps and multisectoral reports on needs of displaced populations;
 • Use the DTM Emergency Tracking Tool (ETT) to capture new and sudden displacement trends on a weekly basis, including arrivals and departures; and the publication of flash updates on a regular basis to support the rapid response from the Government and humanitarian community. 
 • Undertake training for local authorities, partners and to extend key informant networks to ensure access to hard to reach areas as well as to increase capacities."
168232,"Delivery of life-saving primary health care, integrated Health/MHPSS services and referrals to vulnerable IDPs in Cabo Delgado","Integrated mobile health brigades delivering health services on a weekly to bi-weekly basis using IOM boat
 - Ambulance services and medical escort for vulnerable IDPs ensuring their referral to next level of care;
 - Identification, follow-up, referral and psychosocial support for IDPs HIV/TB patients, including medicines delivery as needed"
170367,Turkey: WFP - Multisector COVID,Regional  Multisector COVID requirements for Syrian refugees
162252,Appui à la sécurité alimentaire et aux moyens d’existence des personnes vulnérables des provinces du Lac et du Logone Occidental,"L'objectif principal du projet est d'améliorer la sécurité alimentaire des populations touchées par des crises au Tchad à travers une assistance alimentaire et la mise en place de systèmes agricoles résilients.   
 En outre le projet vise à renforcer la sécurité alimentaire et nutritionnelle des populations déplacées et retournées dans 3 départements (Fouli Kaya et Mamdi)  de la province du Lac Tchad.  Le même objectif sera poursuivi dans le Lac Wey. Enfin les activités du projet viseront à renforcer la capacité de résilience des ménages vulnérables du département du Kaya à travers un appui agricole.  
Ces objectifs seront remplies grâce aux activités suivantes: 

- Distribution générales de vivres dans le Fouli (province du Lac) et distribution d'intrants alimentaires aux enfants de 6 à 23 mois. 
- Distribution de cash et d'intrants alimentaires aux enfants de 6 à 23 mois dans les départements du Kaya et du Mamdi (province du Lac)
- Distribution de cash dans le département du Lac Wey
- Appui à 10 groupements agricoles dans le département du Kaya (province du Lac). 

"
163705,"Supporting socio-economic development in Benghazi, Libya, through integrated Mine Action","The city of Benghazi has serious need of clearance of the explosive remnants of war, so that critical infrastructure including schools, hospitals, electricity and water supply, as well as residential areas, to enable reconstruction and for those displaced to make a return. Both children and Adults require risk education to teach them the dangers of unexploded ordnance and how to adopt safe behaviour in such an environment. Additionally, medical professionals need support in victim assistance and their clinics lack a supply of equipment for victims of unexploded ordnance. DCA have worked in Libya since 2011 and have consistently had an office in Benghazi, from which national and international staff deliver a wide range of projects both through direct implementation and through our civil society organization partners. For this project; DCA will select and train 2 teams of deminers/searchers and then lead and mentor them in the clearance of UXO in priority areas of the city, so that essential services can be reopened and the citizens of Benghazi can access them safely; DCA will, through its CSO partner, deliver risk education to children and youth in schools, colleges and universities, and to adult workers, and female headed households; DCA will also continue to work with medical professionals involved in victim assistance and provide further support to them in terms of training and additionally provide walking aids and wheelchairs to specialist clinics and in coordination with the Ministry of Health and Libyan Red Crescent. In essence the project will address 3 critical pillars of mine action and benefit men, women, and children in areas most affected by conflict and suffering from contamination from UXO. The project will be delivered by DCA’s national and international staff in Benghazi and have a duration of 18 months."
169748,Logistics Cluster activities in support of the humanitarian community in South Sudan,""
168258,Rapid Protection Responose to Vulnerable Populations in Cabo Delgado,"Phase 1: 
a. In-person and remote protection monitoring using data-collection tools in hard-to-reach communities for the indentification of persons with heightened vulnerabilities, protection needs ans trends as well as gaps in the response. Production of protection monitoring reports and dashboards for regular dissemination with all humanitarian partners and Government.
b. Two-way communication with communities and strenghtening acocuntability to affected populations. Engaging affected communities, community leaders and key informants in the collection of protection data, community feedback and identification of vulnerable individuals for referral to available services. Facilitating in-person or remote focus-group discussions and household level assessments where appropriate. 
c. Leveraging technology and innovative solutions, such as remote protection data collection in inaccessible communites using technological tools, building and keeping up to date community-level key informant database for collection of protection data and rapid collection of data on needs following incidents of violence. 
Phase 2: 
a. Referral of individuals with identified needs to available services using existing referral mechanisms. In adidition referral pathways and case management systems will be kept up-to-date, strenghtened and capacity of case management actors enforced to ensure adequate follow of cases of persons with specific needs (PSN).
b. Identification of protection gaps and needs  in the provision of follow up services to identified protection cases and capacity building of key institutional actors and law enforcement agents on key aspects of Protection. 
In this regard, UNHCR will partner with and support OHCHR in deployment of dedicated expertise to guide assessment and capacity building requirements and engagement with relevant justice institutions 
Phase 3: Community-Based Protection (CBP)
Selection and training of community-based protection focal points (PFPs), both in person and remote. Capacity building of PFPs to dentify and refer cases within the community to service providers. Dissemination of life-saving information within communities, especially among persons with heightened vulnerabilities. Strenghtening community engageent mechanisms, such as protection desks, focal points, focus group discussions and awareness raising on existing community feedback and complaint mechanisms. 
and ensuing advocacy, leading the Prot cluster)
Phase 4: Distribution of CRIs as part of the protection response of UNHCR, with special focus on individuals with heightened vulnerabilities as identified through monitoring activities. 
Phase 5: Advocacy on the centrality of protection, human rights and specific needs of IDPs within the humanitarian community and with authorities. Strategic leadership of the Protection Cluster and the National Community Enagegement and Accountability to Affected Populations Working Group to mainstream protection within the response."
166319,Protection of Children from COVID 19 and provision of Child Protection services for Children with specific needs and vulnerabilities,"COVID-19 is having an unprecedented impact around the world, both in terms of the need to drastically scale public health preparedness and response, as well as putting measures to protect vulnerable populations.  Nigeria as the most populous country in African with high population density in many cities, coupled with a weak health system, poor hygiene practices and an ongoing humanitarian crisis in the North East makes it particularly vulnerable to outbreaks like COVID-19. 

UNICEF and partners will ensure timely identification, documentation, tracing and reunification of UASC children as a result of  conflict and COVID 19 those exposed to conflict related violence including CRSV, children living in IDP camps who are likely to be affected in the event of an outbreak, children recruited and used by armed groups, and other vulnerable children to be provided and referred for immediate assistance. UNICEF will support partners to implement COVID19 mitigation measures and response for children and community members and  conduct close monitoring for the adoption of negative coping mechanisms fueled by COVID-19. 

The response will include  other interventions such as raising awareness of COVID-19 and putting in mitigation measures at Child Friendly Spaces Safe Spaces and  Interim Care Centres. Remote and restricted MHPSS services andcase management services for UASC will be provided for children in high risk areas. Children and caregivers will be provided with radios for COVID-19 messaging and girls who have been exposed to sexual gender based violence would be support with among others, dignity kits. Cash transfer modalities or payments may be provided to caregivers who are providing alternative care for UASC and children while monitoring grave violations against children.  

Child Protection will support with remote training (e-learning), CPIMS mobile reporting of COVID-19 affected children. Further, referral pathways will be developed, and  technical guidance provided to social workers and community volunteers to enhance their skills in identifying cases of severe distress and protection concerns linked to COVID-19. Messages on positive coping strategies will also be shared as this is critical particularly for children in alternative care and interim care centres, to mitigate negative economic effect of lost livelihoods for household members in isolation, or to reduce the economic burden of children reintegrated from armed groups.. Overall, Best interest of the Child and ‘Do No Harm’ principles will be applied across the response. 

"
166459,"Access to remote/distance education for 1,600,000 conflict-affected IDP, Host Community and out of schoolgirls and boys in Adamawa, Borno and Yobe States of North-East Nigeria during COVID-19 pandemic","Overall Objective: 
Support access to remote/distance learning through radio programming as part of COVID-19 response for conflict-affected, out of school, displaced, returnees and host communities’ school-aged girls and boys in Borno, Adamawa and Yobe (BAY) States of North-East Nigeria.

Specific Objective: 
1.	Support distance/remote learning through radio access to 850,000 students (ensuring 52% of girls through provision of essential teaching materials and solar-powered radios.
2.	750,000 additional learners benefit from the SUBEB radio remote education programming
3.	Improve the capacity of 21,250 teachers and volunteer teachers (at least 40% of females) in Covid-19 mitigation and prevention as well as distance education through radio learning
4.	Increase access to safe learning spaces during COVID-19 with WASH hard-materials (handwashing and soap) as well as soft-components (sensitization materials on COVID-19)
5.	Training of 21,250 SBMC members (40% females) on Covid-19 prevention and mitigation measures as well as the provision of remote/distance education services to children during Covid-19 and school closures "
