project_id,project_name,project_objective
48078,Mental Health and Psychosocial Support for conflict affected populations in Nigeria's North East,"1 	Strengthen community and family support mechanisms with the aim of enhancing the psychosocial wellbeing of conflict affected, displaced and vulnerable individuals
2 	Provision of direct and focused psychosocial support activities with the aim of enhancing the psychosocial wellbeing of conflict affected, displaced and vulnerable individuals, and to prevent long term morbidity, mortality and social disruption"
51752,Provision of Emergency Health assistance to the affected people in Nertiti Locality of Central Darfur,"Immediate needs of health internally displaced and host children, woman and men are addressed. Resilience of the communities enhanced to cope with the emergency situation in future. The proposed project is designed to contribute to the outcome 1 """"Populations in areas affected by natural or man-made disaster receive timely assistance during and in the aftermath of a shock"""""
51853,International Organization for Migration requirements for shelter,n/a
51860,International Organization for Migration requirements for wash,n/a
48707,Protecting Children affected by conflict and other emergencies,"1) Strengthening the Monitoring, reporting and response mechanism systems on grave child rights violations, including rehabilitation and reintegration of children associated with armed forces/groups (CAAFAG).
2) Enhancing the protection of boys, girls, men and women from injuries and deaths related to landmines and explosive remnants of war (ERW).
3) Protection of Unaccompanied and Separated Children (UASC) strengthened and family separation prevented in Central South Somalia, Puntland and Somaliland."
49939,Recovering access to sanitation and safe water with hygiene promotion in Coteaux and Chambellan communes in South and Grand'Anse Departments.,Hurricane-affected families in Chambellan and Coteaux communes access safe and adequate water and sanitation with hygiene promotion to prevent the spread of water borne diseases.
48771,"Provision of emergency reproductive, maternal, newborn and child health services including response to the pre-famine ","1. To contribute to the reduction of maternal, newborn and child morbidity and mortality, in internally displaced persons (IDP) and host community populations affected by the drought. 
2. Improved access to essential lifesaving health services (quality primary and secondary health care) for crisis and pre famine affected populations aimed at reducing avoidable morbidity and mortality.
3. Strengthen emergency preparedness and response capacities at all levels including data collection and evidence driven emergency interventions; prevent and control epidemic prone diseases outbreaks through expansion of data collection, risk informed programming; immunization, disaster risk reduction emergency preparedness and lifesaving humanitarian health services for vulnerable groups.
4. Social Mobilization in underserved communities to increase utilisation of lifesaving services."
51407,"Famine Prevention and Drought Response to Emergency and Crisis affected population in Somalia (South and Central-SC, Puntland-PL and Somaliland-SL)","Vulnerable Drought-affected populations, including those that are hard to reach, meet their immediate basic needs"
50936,Child Protection Prevention and Response Services for Children Affected by Conflict in Iraq,"Overall Objectives:  To improve access to Child Protection prevention and response services for at-risk children and caregivers affected by the conflict between the Government of Iraq and ISIL, including the specific protection needs of adolescents. 

The situation in Iraq is one characterized by the existence of both chronic and acute protection concerns due to the protracted and immediate nature of the conflict.  Through multiple modalities, this project aims to address the multiple needs of at-risk Iraqi children affected by conflict, including adolescents, whether they are displaced, returned to places of origin, or living in areas recently retaken by the government or in host communities. UNICEF is the provider of last resort for child protection and is the lead agency for coordination at the national and subnational levels and seeks funding through this project to fulfil its mandate.

Specific Objectives:
1. Provide immediate, emergency child protection response services to the most at-risk children and families, including adolescents, particularly those who have been newly displaced, those residing in communities that have recently been retaken from ISIL, and those who are newly returned to their places of origin.

2. Provide and support specialized, community based child protection prevention and response services to children and families, including adolescents, who have experienced, witnessed or been forced to participate in violence, exploitation, or abuse.

3. Support sustainable, systems and community-based child protection prevention and response services that are holistic, gender-sensitive, age-appropriate, and enhance social cohesion."
50977,"Rehabilitation of basic education for vulnerable IDP returnees, IDPs and host community children for resilience and cohesion of Iraq","1.	By December 2017, build system and develop capacity to enable MOE to stabilize the provision of education in Iraq to promote resilience and ensure social cohesion
2.	By December 2017, enable over 945,000 (6-17 years old) vulnerable children (40% girls) to access quality education to promote social cohesion and resilience 
3.	Build capacity of 4,000 teachers and 2000 education personnel and PTA members on life skills education, psycho-social support and improved pedagogy"
