id,decision
201873,Decision: exclude; judgement
201981,Decision: exclude; judgement; includes other elements which are not cash
202095,Decision: accept; judgement
202289,Decision: accept; judgement
202643,Decision: exclude; judgement
202644,Decision: exclude; judgement
202645,Decision: exclude; judgement
203080,Decision: accept; judgement
203584,Decision: exclude; judgement; includes other elements which are not cash
204103,Decision: exclude; judgement; includes other elements which are not cash
204719,Decision: accept; judgement
204761,Decision: include; judgement
206121,Decision: accept; judgement
206482,Decision: exclude; judgement; includes other elements which are not cash
206492,Decision: exclude; judgement; includes other elements which are not cash
208504,Decision: accept; judgement
208706,Decision: exclude; judgement
209102,Decision: accept; judgement
209283,Decision: accept; judgement
210088,Decision: exclude; judgement
210194,Decision: exclude; judgement
210653,Decision: include; judgement
211433,Decision: exclude; judgement; includes other elements which are not cash
211618,Decision: exclude; judgement; includes other elements which are not cash
211644,Decision: exclude; judgement; includes other elements which are not cash
211648,Decision: exclude; judgement; includes other elements which are not cash
211749,Decision: accept; judgement
211750,Decision: accept; judgement
211751,Decision: accept; judgement
213455,Decision: exclude; judgement
213455,Decision: exclude; judgement
213603,Decision: exclude; judgement
213604,Decision: exclude; judgement
213606,Decision: exclude; judgement
213607,Decision: exclude; judgement
213613,Decision: exclude; judgement
213616,Decision: exclude; judgement
213618,Decision: exclude; judgement
213619,Decision: exclude; judgement
213720,Decision: accept; judgement
214341,Decision: accept; judgement
214515,Decision: accept; judgement
215313,Decision: accept; judgement
216213,Decision: exclude; judgement
216427,Decision: accept; judgement
216427,Decision: accept; judgement
216427,Decision: accept; judgement
216428,Decision: accept; judgement
216429,Decision: accept; judgement
216430,Decision: accept; judgement
216548,Decision: accept; judgement
216548,Decision: accept; judgement
216548,Decision: accept; judgement
216549,Decision: accept; judgement
216550,Decision: accept; judgement
217190,Decision: accept; judgement
217241,Decision: exclude; judgement
217297,Decision: accept; judgement
217306,Decision: accept; judgement
217307,Decision: accept; judgement
217648,Decision: exclude; judgement
217900,Decision: exclude; judgement
217914,Decision: exclude; judgement; includes other elements which are not cash
217993,Decision: exclude; judgement
217995,Decision: exclude; judgement
217998,Decision: exclude; judgement; includes other elements which are not cash
218010,Decision: exclude; judgement
218191,Decision: accept; judgement
219023,Decision: exclude; judgement; includes other elements which are not cash
219025,Decision: exclude; judgement; includes other elements which are not cash
219204,Decision: exclude; judgement; includes other elements which are not cash
219289,Decision: accept; judgement
219289,Decision: accept; judgement
219289,Decision: accept; judgement
219289,Decision: accept; judgement
219290,Decision: accept; judgement
219814,Decision: exclude; judgement
222177,Decision: exclude; judgement
222402,Decision: include; judgement
222754,Decision: accept; judgement
222820,Decision: accept; judgement
222821,Decision: accept; judgement
223174,Decision: accept; judgement
223722,Decision: exclude; judgement; includes other elements which are not cash
223976,Decision: exclude; judgement; includes other elements which are not cash
224187,Decision: accept; judgement
225047,Decision: accept; judgement
225047,Decision: accept; judgement
225048,Decision: accept; judgement
225049,Decision: accept; judgement
226028,Decision: accept; judgement
226030,Decision: accept; judgement
226032,Decision: accept; judgement
226059,Decision: accept; judgement
226066,Decision: accept; judgement
226066,Decision: accept; judgement
226066,Decision: accept; judgement
226066,Decision: accept; judgement
226066,Decision: accept; judgement
226350,Decision: accept; judgement
227395,Decision: accept; judgement
227731,Decision: exclude; judgement; includes other elements which are not cash
228205,Decision: accept; judgement
228265,Decision: exclude; judgement
228346,Decision: accept; judgement
228388,Decision: exclude; judgement; includes other elements which are not cash
228389,Decision: exclude; judgement; includes other elements which are not cash
228485,Decision: exclude; judgement; includes other elements which are not cash
228486,Decision: exclude; judgement; includes other elements which are not cash
229041,Decision: exclude; judgement
229432,Decision: accept; judgement
229803,Decision: exclude; judgement
229815,Decision: exclude; judgement
230021,Decision: exclude; judgement
230022,Decision: exclude; judgement
230103,Decision: exclude; judgement; includes other elements which are not cash
231131,Decision: exclude; judgement
231135,Decision: exclude; judgement
231220,Decision: accept; judgement
231259,Decision: accept; judgement
231263,Decision: accept; judgement
231293,Decision: exclude; judgement
231294,Decision: exclude; judgement; includes other elements which are not cash
231493,Decision: accept; judgement
231493,Decision: accept; judgement
231493,Decision: accept; judgement
231493,Decision: accept; judgement
231494,Decision: accept; judgement
231496,Decision: accept; judgement
231621,Decision: exclude; judgement
231690,Decision: exclude; judgement
232267,Decision: exclude; judgement
232291,Decision: accept; judgement
232528,Decision: accept; judgement
232532,Decision: accept; judgement
232546,Decision: accept; judgement
232822,Decision: exclude; judgement
233356,Decision: exclude; judgement
233357,Decision: accept; judgement
233834,Decision: accept; judgement
234010,Decision: exclude; judgement
234010,Decision: exclude; judgement
234010,Decision: exclude; judgement
234034,Decision: accept; judgement
234138,Decision: accept; judgement
234574,Decision: accept; judgement
235296,Decision: exclude; judgement; includes other elements which are not cash
235605,Decision: exclude; judgement; includes other elements which are not cash
235606,Decision: exclude; judgement; includes other elements which are not cash
236048,Decision: exclude; judgement
236254,Decision: accept; judgement
236423,Decision: exclude; judgement; includes other elements which are not cash
236816,Decision: accept; judgement
236875,Decision: exclude; judgement; includes other elements which are not cash
237101,Decision: accept; judgement
237117,Decision: accept; judgement
237766,Decision: exclude; judgement
237910,Decision: exclude; judgement; includes other elements which are not cash
238113,Decision: accept; judgement
238627,Decision: exclude; judgement
238627,Decision: exclude; judgement
238627,Decision: exclude; judgement
238628,Decision: exclude; judgement
238628,Decision: exclude; judgement
238628,Decision: exclude; judgement
238629,Decision: exclude; judgement
238743,Decision: exclude; judgement
239173,Decision: exclude; judgement; includes other elements which are not cash
239305,Decision: accept; judgement
239306,Decision: accept; judgement
239364,Decision: exclude; judgement; includes other elements which are not cash
239365,Decision: exclude; judgement; includes other elements which are not cash
239368,Decision: exclude; judgement; includes other elements which are not cash
239389,Decision: exclude; judgement
239623,Decision: exclude; judgement; includes other elements which are not cash
239628,Decision: accept; judgement
239672,Decision: exclude; judgement; includes other elements which are not cash
239673,Decision: exclude; judgement
239674,Decision: exclude; judgement; includes other elements which are not cash
239679,Decision: exclude; judgement
239684,Decision: exclude; judgement
239685,Decision: exclude; judgement
239691,Decision: exclude; judgement; includes other elements which are not cash
240268,Decision: accept; judgement
240426,Decision: exclude; judgement
240915,Decision: exclude; judgement
242417,Decision: exclude; judgement; includes other elements which are not cash
242420,Decision: exclude; judgement; includes other elements which are not cash
242421,Decision: exclude; judgement; includes other elements which are not cash
243049,Decision: exclude; judgement; includes other elements which are not cash
243050,Decision: exclude; judgement; includes other elements which are not cash
243053,Decision: exclude; judgement; includes other elements which are not cash
243060,Decision: accept; judgement
243636,Decision: accept; judgement
243736,Decision: exclude; judgement
243841,Decision: accept; judgement
243901,Decision: accept; judgement
243901,Decision: accept; judgement
243903,Decision: accept; judgement
243904,Decision: accept; judgement
243949,Decision: exclude; judgement
243950,Decision: exclude; judgement
243954,Decision: exclude; judgement
243960,Decision: exclude; judgement
244223,Decision: exclude; judgement; includes other elements which are not cash
244470,Decision: exclude; judgement; includes other elements which are not cash
244494,Decision: accept; judgement
244574,Decision: accept; judgement
244614,Decision: exclude; judgement
244624,Decision: exclude; judgement; includes other elements which are not cash
244649,Decision: accept; judgement
244850,Decision: accept; judgement
245129,Decision: exclude; judgement; includes other elements which are not cash
245171,Decision: accept; judgement
245171,Decision: accept; judgement
245171,Decision: accept; judgement
245172,Decision: accept; judgement
245173,Decision: accept; judgement
245174,Decision: accept; judgement
245261,Decision: exclude; judgement; includes other elements which are not cash
245569,Decision: accept; judgement
246137,Decision: accept; judgement
246909,Decision: accept; judgement
246932,Decision: accept; judgement
247980,Decision: accept; judgement
248155,Decision: exclude; judgement
248160,Decision: exclude; judgement
248298,Decision: accept; judgement
248562,Decision: exclude; judgement
248936,Decision: accept; judgement
248963,Decision: exclude; judgement
248986,Decision: accept; judgement
249405,Decision: accept; judgement
249518,Decision: accept; judgement
249528,Decision: accept; judgement
249536,Decision: accept; judgement
249542,Decision: accept; judgement
249543,Decision: accept; judgement
249634,Decision: accept; judgement
249635,Decision: accept; judgement
249703,Decision: accept; judgement
249730,Decision: accept; judgement
249735,Decision: accept; judgement
249927,Decision: accept; judgement
250095,Decision: accept; judgement
250130,Decision: accept; judgement
250165,Decision: exclude; judgement
250170,Decision: exclude; judgement; includes other elements which are not cash
250179,Decision: exclude; judgement
250187,Decision: exclude; judgement
250189,Decision: exclude; judgement
250194,Decision: exclude; judgement; includes other elements which are not cash
250205,Decision: exclude; judgement
250395,Decision: accept; judgement
250783,Decision: accept; judgement
250995,Decision: exclude; judgement
250995,Decision: exclude; judgement
250995,Decision: exclude; judgement
250995,Decision: exclude; judgement
250996,Decision: exclude; judgement
250997,Decision: exclude; judgement
251002,Decision: exclude; judgement
251003,Decision: exclude; judgement
251004,Decision: exclude; judgement
251859,Decision: accept; judgement
252710,Decision: accept; judgement
252717,Decision: accept; judgement
252952,Decision: accept; judgement
252952,Decision: accept; judgement
252952,Decision: accept; judgement
252952,Decision: accept; judgement
252952,Decision: accept; judgement
252986,Decision: accept; judgement
253573,Decision: exclude; judgement; includes other elements which are not cash
253767,Decision: exclude; judgement; includes other elements which are not cash
253768,Decision: exclude; judgement; includes other elements which are not cash
253769,Decision: exclude; judgement; includes other elements which are not cash
253770,Decision: exclude; judgement; includes other elements which are not cash
254084,Decision: accept; judgement
254134,Decision: accept; judgement
254138,Decision: exclude; judgement; includes other elements which are not cash
254176,Decision: accept; judgement
254194,Decision: accept; judgement
254690,Decision: exclude; judgement
254733,Decision: exclude; judgement; includes other elements which are not cash
254734,Decision: exclude; judgement
254736,Decision: exclude; judgement; includes other elements which are not cash
254741,Decision: exclude; judgement
254742,Decision: exclude; judgement; includes other elements which are not cash
254747,Decision: exclude; judgement; includes other elements which are not cash
254774,Decision: exclude; judgement
254778,Decision: exclude; judgement
255079,Decision: exclude; judgement
255079,Decision: exclude; judgement
256067,Decision: exclude; judgement
256068,Decision: exclude; judgement
256199,Decision: accept; judgement
256201,Decision: accept; judgement
256209,Decision: accept; judgement
256210,Decision: accept; judgement
256253,Decision: accept; judgement
256255,Decision: accept; judgement
256284,Decision: accept; judgement
256284,Decision: accept; judgement
256285,Decision: accept; judgement
256286,Decision: accept; judgement
256681,Decision: exclude; judgement
257202,Decision: accept; judgement
257202,Decision: accept; judgement
257203,Decision: accept; judgement
257204,Decision: accept; judgement
258012,Decision: exclude; judgement
258042,Decision: accept; judgement
258713,Decision: exclude; judgement
258718,Decision: exclude; judgement
259616,Decision: accept; judgement
259632,Decision: accept; judgement
259633,Decision: accept; judgement
259634,Decision: accept; judgement
259889,Decision: accept; judgement
259914,Decision: accept; judgement
259926,Decision: exclude; judgement
259929,Decision: exclude; judgement
259944,Decision: accept; judgement
260054,Decision: accept; judgement
260061,Decision: accept; judgement
260069,Decision: accept; judgement
260922,Decision: exclude; judgement
260923,Decision: exclude; judgement
260924,Decision: exclude; judgement
261189,Decision: exclude; judgement; includes other elements which are not cash
261601,Decision: exclude; judgement
261920,Decision: exclude; judgement
262744,Decision: exclude; judgement
262752,Decision: exclude; judgement
262936,Decision: include; judgement
263015,Decision: include; judgement
263022,Decision: include; judgement
263023,Decision: include; judgement
263024,Decision: include; judgement
263025,Decision: include; judgement
263030,Decision: include; judgement
263031,Decision: include; judgement
263032,Decision: include; judgement
263033,Decision: include; judgement
263262,Decision: exclude; judgement
263263,Decision: exclude; judgement
263264,Decision: exclude; judgement
263265,Decision: exclude; judgement
266099,Decision: exclude; judgement
266101,Decision: exclude; judgement
266478,Decision: accept; judgement
267098,Decision: exclude; judgement
267099,Decision: exclude; judgement
267239,Decision: exclude; judgement; includes other elements which are not cash
267242,Decision: exclude; judgement
271397,Decision: exclude; judgement; includes other elements which are not cash
271397,Decision: exclude; judgement; includes other elements which are not cash
271397,Decision: exclude; judgement; includes other elements which are not cash
271398,Decision: exclude; judgement; includes other elements which are not cash
271399,Decision: exclude; judgement; includes other elements which are not cash
271400,Decision: exclude; judgement; includes other elements which are not cash
271401,Decision: exclude; judgement; includes other elements which are not cash
271402,Decision: exclude; judgement; includes other elements which are not cash
