DATAFLOW,FREQ,iso3,SECTOR,COUNTERPART_SECTOR,TRANSACTION,INSTR_ASSET,ACTIVITY,EXPENDITURE,UNIT_MEASURE,PRICE_BASE,TRANSFORMATION,TABLE_IDENTIFIER,year,value,REF_YEAR_PRICE,CONF_STATUS,DECIMALS,OBS_STATUS,UNIT_MULT,CURRENCY
OECD.SDD.NAD:DSD_NAMAIN10@DF_TABLE4(2.0),A,AUT,S1,S1,EXC_A,F21,_Z,_Z,XDC_USD,_Z,N,T001,1979,0.971454,,F,6,A,0,EUR
OECD.SDD.NAD:DSD_NAMAIN10@DF_TABLE4(2.0),A,AUT,S1,S1,EXC_A,F21,_Z,_Z,XDC_USD,_Z,N,T001,1980,0.940241,,F,6,A,0,EUR
OECD.SDD.NAD:DSD_NAMAIN10@DF_TABLE4(2.0),A,AUT,S1,S1,EXC_A,F21,_Z,_Z,XDC_USD,_Z,N,T001,1981,1.157448,,F,6,A,0,EUR
OECD.SDD.NAD:DSD_NAMAIN10@DF_TABLE4(2.0),A,AUT,S1,S1,EXC_A,F21,_Z,_Z,XDC_USD,_Z,N,T001,1982,1.239744,,F,6,A,0,EUR
OECD.SDD.NAD:DSD_NAMAIN10@DF_TABLE4(2.0),A,AUT,S1,S1,EXC_A,F21,_Z,_Z,XDC_USD,_Z,N,T001,1983,1.305446,,F,6,A,0,EUR
OECD.SDD.NAD:DSD_NAMAIN10@DF_TABLE4(2.0),A,AUT,S1,S1,EXC_A,F21,_Z,_Z,XDC_USD,_Z,N,T001,1984,1.454117,,F,6,A,0,EUR
OECD.SDD.NAD:DSD_NAMAIN10@DF_TABLE4(2.0),A,AUT,S1,S1,EXC_A,F21,_Z,_Z,XDC_USD,_Z,N,T001,1985,1.503565,,F,6,A,0,EUR
OECD.SDD.NAD:DSD_NAMAIN10@DF_TABLE4(2.0),A,AUT,S1,S1,EXC_A,F21,_Z,_Z,XDC_USD,_Z,N,T001,1986,1.109506,,F,6,A,0,EUR
OECD.SDD.NAD:DSD_NAMAIN10@DF_TABLE4(2.0),A,AUT,S1,S1,EXC_A,F21,_Z,_Z,XDC_USD,_Z,N,T001,1987,0.918766,,F,6,A,0,EUR
OECD.SDD.NAD:DSD_NAMAIN10@DF_TABLE4(2.0),A,AUT,S1,S1,EXC_A,F21,_Z,_Z,XDC_USD,_Z,N,T001,1988,0.89734,,F,6,A,0,EUR
