question
8.16 - Exclusion of women from cash for work activities
"2.1.4.1 - If the answer of the question 2.1.4 is ""Yes"", which Sub-National Cash Working Groups (SNCWG) that your organization participates in for your operational area ?"
"2.1.4.1 - If the answer on the question 2.1.4 is ""Yes"", which Sub-National Cash Working Groups (SNCWG) that your organization participates in for your operational area ?"
5.3 - Le choix de la modalité de transfert monétaire s'est-elle aussi appuyée sur les résultats d'une analyse rapide de genre ?
5.4 - Le marqueur genre a -t-il été pris en compte dans la conception de la composante de transfert monétaire ?
4.1 Le projet utilise-t-il le mode d'assistance en espèce ou par bons (CVA)
3.2.c. Number of targeted people for cash programming
6.2.c - Number of targeted people for cash programming
